,0
0,No topics found
1,No topics found
2,No topics found
3,No topics found
4,No topics found
5,"[(1, 'ayala, medio, dijo, idea, insticator, tener, ser, historia, ciudad, conseguir'), (2, 'periodismo, sitio, poder, varios, organizaciones, posible, socios, política, proceso, grupo'), (3, 'queremos, trabajo, sólo, comunidad, personas, reportera, jóvenes, hermano, seguir, pie'), (4, 'aroche, medios, hacer, méxico, años, acuerdo, periodistas, temas, universidad, contó'), (5, 'lado, político, puebla, dinero, animal, moreno, año, explicó, periodísticos, proyecto')]"
6,No topics found
7,No topics found
8,No topics found
9,"[(1, 'presidencial, señor, ad, ecuador, declaró, información, república, proceso, gobierno, además'), (2, '2000, valle, insticator, vic, beltrán, jalisco, ser, federal, hijo, semanario'), (3, 'félix, 5636, col, manuel, unidos, guzmán, público, zeta, dos, abogado'), (4, 'méxico, benito, 03100, 13, 55, aparece, teléfono, víctor, años, chapo'), (5, 'ciudad, aspirante, juárez, punto, fresas, delegación, dinero, loadad, actos, san')]"
10,"[(1, 'gobierno, prisión, seguridad, ad, javier, días, pública, abuso, además, año'), (2, 'insticator, veracruz, caso, proceso, garcía, exdirector, aspirante, ahora, ley, policías'), (3, 'arturo, así, exsecretario, cuitláhuac, nuevo, desaparición, prensa, antonio, hizo, exgobernador'), (4, 'méxico, duarte, ciudad, libertad, desaparecidos, deber, legal, familiares, presidencial, autoridad'), (5, 'bermúdez, justicia, pues, público, pesos, si, ser, liberación, teléfono, mexicana')]"
11,No topics found
12,No topics found
13,"[(1, 'arturo, seguridad, javier, libertad, legal, dijo, teléfono, agresión, incumplimiento, encuentra'), (2, 'así, caso, hospital, garcía, investigaciones, ciudad, si, general, días, liberación'), (3, 'gobierno, veracruz, menor, público, fiscalía, jorge, winckler, ley, año, policías'), (4, 'justicia, méxico, pues, prisión, familiares, exdirector, deber, exsecretario, cuitláhuac, fiscal'), (5, 'bermúdez, duarte, insticator, proceso, ad, pesos, ser, desaparecidos, además, falta')]"
14,No topics found
15,No topics found
16,No topics found
17,No topics found
18,No topics found
19,"[(1, '2020, ser, comunicado, leyenda, recién, cuándo, seguirá, través, vez, estreno'), (2, 'familia, primera, tampoco, sentimos, the, series, bidi, family, twitter, mentiras'), (3, 'selena, serie, suzette, hermana, netflix, expectativas, conocerá, siempre, campanario, lugar'), (4, 'historia, quintanilla, esperar, nunca, saldívar, be, story, december, pic, netflixnewsweek'), (5, 'cuenta, instagram, vidas, solo, expresó, empezará, recuerdo, resaltar, queda, justicia')]"
20,No topics found
21,No topics found
22,"[(1, 'equipo, prensa, solo, periodismo, ahora, salarios, 23, muerto, pasando, ataque'), (2, 'león, 20, parte, benidorm, comunicación, violencia, cuarón, luis, defensa, final'), (3, 'medios, jornada, nicaragua, diciembre, libertad, barrio, represión, teucro, asobal, goles'), (4, 'director, dos, 25, ciudad, gobierno, ademar, periodistas, cada, mundo, roma'), (5, 'película, nuevo, méxico, dijo, minutos, radio, primera, darío, partido, tiempo')]"
23,No topics found
24,No topics found
25,No topics found
26,No topics found
27,No topics found
28,"[(1, 'cultura, escondidas, méxico, guzmán, villa, unidos, pemex, york, luego, joaquín'), (2, 'cifuentes, 2018, metió, derechos, reservados, años, 1998, ciudad, jorge, corte'), (3, 'colectiva, zambada, félix, recibir, ismael, milton, señor, podría, asesinado, ad'), (4, 'juicio, colombiano, nueva, ojeda, narcotraficante, pedir, acuerdo, clan, ser, rancho'), (5, 'chapo, celular, cocaína, mayo, conoció, pista, insticator, loera, drogas, manuel')]"
29,No topics found
